Serie,AMERB,Fecha colecta,dia,mes,ano,categoria,Especie,extraccion,peso,Diametro terreno ,Diametro extraida ,Circunferencia,Estipes,Largo total ,Estado reproductivo ,Soros liberados ,Largo hasta fronda,Observaciones
112,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,6.3600,32.0000,26.0000,NaN,11.0000,173.0000,1.0000,NaN,85.0000,
113,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,1.2000,23.0000,18.0000,NaN,1.0000,165.0000,1.0000,NaN,76.0000,
114,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,4.9000,28.0000,28.0000,NaN,5.0000,190.0000,1.0000,NaN,70.0000,
115,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,6.6500,36.0000,30.0000,NaN,4.0000,165.0000,1.0000,NaN,77.0000,
116,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,9.8200,25.0000,16.0000,NaN,9.0000,183.0000,NaN,NaN,NaN,
117,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,3.2200,29.0000,16.0000,NaN,7.0000,103.0000,NaN,NaN,NaN,
118,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,3.9800,25.0000,18.0000,NaN,10.0000,101.0000,NaN,NaN,NaN,
119,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,4.2600,31.0000,28.0000,NaN,19.0000,95.0000,NaN,NaN,NaN,
120,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,0.5600,12.0000,9.0000,NaN,9.0000,72.0000,NaN,NaN,NaN,
121,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,1.0200,18.0000,10.0000,NaN,36.0000,93.0000,NaN,NaN,NaN,
122,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,0.5000,15.0000,10.0000,NaN,12.0000,74.0000,NaN,NaN,NaN,
123,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,0.8800,19.0000,12.0000,NaN,24.0000,97.0000,NaN,NaN,NaN,
124,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,0.1400,8.0000,7.0000,NaN,1.0000,58.0000,NaN,NaN,NaN,
125,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,0.0860,12.0000,7.0000,NaN,6.0000,39.0000,0.0000,NaN,NaN,
126,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,0.1890,14.0000,8.0000,NaN,13.0000,54.0000,0.0000,NaN,NaN,
127,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,0.1110,11.0000,6.0000,NaN,15.0000,53.0000,0.0000,NaN,NaN,
128,Ventana,09-08-18,9,8,2018,Intermareal,Lessonia spicata,Barreteada,0.0260,7.0000,4.0000,NaN,17.0000,23.0000,0.0000,NaN,NaN,
129,Ventana,16-08-18,16,8,2018,Intermareal,Lessonia spicata,Barreteada,0.9400,NaN,10.3000,NaN,26.0000,78.0000,0.0000,NaN,NaN,
130,Ventana,16-08-18,16,8,2018,Intermareal,Lessonia spicata,Barreteada,0.1600,NaN,6.0000,NaN,8.0000,54.0000,0.0000,NaN,NaN,
131,Ventana,16-08-18,16,8,2018,Intermareal,Lessonia spicata,Barreteada,0.8800,NaN,11.0000,NaN,25.0000,66.0000,0.0000,NaN,NaN,
132,Ventana,16-08-18,16,8,2018,Intermareal,Lessonia spicata,Barreteada,0.6600,NaN,11.0000,NaN,16.0000,61.0000,0.0000,NaN,NaN,
133,Ventana,16-08-18,16,8,2018,Intermareal,Lessonia spicata,Barreteada,0.0070,NaN,1.4000,NaN,1.0000,23.0000,0.0000,NaN,NaN,
134,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,2.0600,NaN,16.0000,26.0000,7.0000,138.0000,0.0000,0.0000,NaN,
135,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,4.3200,NaN,16.8000,23.0000,6.0000,194.0000,0.0000,1.0000,,
136,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,2.3400,NaN,15.0000,30.0000,5.0000,203.0000,0.0000,1.0000,,
137,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,11.0000,NaN,32.0000,47.0000,5.0000,210.0000,1.0000,0.0000,,
138,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,0.0180,NaN,4.0000,4.0000,3.0000,26.0000,0.0000,0.0000,,
139,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,0.0680,NaN,4.4000,5.0000,8.0000,41.0000,0.0000,0.0000,,
140,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,0.0380,NaN,5.0000,7.0000,3.0000,40.0000,0.0000,0.0000,,
141,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,0.0880,NaN,17.0000,24.0000,3.0000,176.0000,0.0000,0.0000,,
142,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,2.1600,NaN,18.0000,23.0000,2.0000,169.0000,0.0000,1.0000,,
143,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,2.2000,NaN,23.0000,37.0000,5.0000,163.0000,1.0000,NaN,NaN,
144,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,2.2000,NaN,24.0000,46.0000,3.0000,157.0000,1.0000,0.0000,,
145,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,2.5800,NaN,18.0000,30.0000,3.0000,210.0000,1.0000,0.0000,,
146,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,8.1600,NaN,25.0000,45.0000,5.0000,200.0000,1.0000,1.0000,,
147,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,4.8600,NaN,18.0000,38.0000,2.0000,193.0000,1.0000,1.0000,,
148,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,0.7000,NaN,14.0000,17.0000,1.0000,194.0000,0.0000,0.0000,,
149,Los Vilos sector C,28-09-18,28,9,2018,Submareal,Lessonia trabeculata,Barreteada,0.5400,NaN,11.0000,19.0000,4.0000,106.0000,0.0000,0.0000,,
